LoanID,CustomerID,LoanType,OriginalAmount,OutstandingBalance,InterestRatePct,LoanStatus
800507,101299,Personal,19406.1,15404.52,6.29,Current
800508,101305,Personal,20869.89,14438.94,12.88,Current
800509,101308,Auto,36213.07,26626.36,4.72,Current
800510,101309,Auto,24900.27,6954.93,9.05,Current
800511,101310,Personal,22106.12,10999.11,9.71,Current
800512,101310,Personal,5420.58,4481.6,10.31,Current
800513,101311,Auto,37690.73,9790.26,5.18,Late
800514,101312,Auto,26462.94,22869.81,5.13,Current
800515,101314,Auto,15686.48,11771.54,7.6,Current
800516,101314,Auto,16922.49,5435.07,8.91,Current
800517,101317,Mortgage,309753.86,74365.98,6.05,Current
800518,101319,Personal,22852.74,3623.55,5.49,Current
800519,101324,Personal,6780.35,6416.7,9.3,Current
800520,101325,Mortgage,278883.98,132925.11,5.71,Current
800521,101327,Auto,30071.4,14773.4,8.96,Current
800522,101328,Personal,5969.23,2912.81,8.84,Late
800523,101329,Mortgage,86047.62,66297.61,6.1,Current
800524,101330,Mortgage,312025.65,95243.8,6.42,Current
800525,101330,Auto,11753.0,11081.23,9.74,Current
800526,101331,Personal,14340.6,7747.88,11.19,Current
800527,101332,Auto,42151.61,34463.16,4.58,Current
800528,101334,Personal,23021.69,10075.18,6.5,Current
800529,101336,Auto,21547.51,7939.33,4.99,Current
800530,101336,Mortgage,277616.12,181841.97,6.69,Current
800531,101338,Personal,19020.03,16149.95,13.84,Current
800532,101345,Auto,10295.13,8027.31,7.96,Current
800533,101346,Personal,25768.66,5502.61,12.88,Current
800534,101347,Personal,23919.04,14195.05,8.88,Current
800535,101349,Auto,16072.33,12498.1,4.18,Current
800536,101350,Mortgage,273901.92,102442.27,6.69,Current
800537,101357,Auto,8133.73,2545.37,5.91,Current
800538,101359,Personal,29746.93,25218.52,5.59,Default
800539,101362,Personal,18332.98,3200.25,13.48,Current
800540,101368,Auto,14728.64,7871.19,7.21,Current
800541,101378,Personal,22421.6,14879.1,13.88,Current
800542,101379,Auto,40591.76,39255.41,7.08,Current
800543,101380,Personal,8825.97,5217.22,5.16,Current
800544,101385,Personal,14364.83,8828.01,5.47,Current
800545,101388,Personal,21677.58,19190.87,6.05,Current
800546,101389,Personal,13445.36,7205.64,5.55,Current
800547,101390,Mortgage,286185.54,274341.98,4.94,Current
800548,101394,Personal,6812.88,3435.8,13.02,Current
800549,101399,Auto,20026.42,4166.5,5.28,Current
800550,101401,Mortgage,267462.43,167367.59,6.72,Late
800551,101403,Auto,35802.51,20513.15,5.92,Current
800552,101405,Personal,22102.3,20812.95,5.35,Current
800553,101406,Auto,29688.54,17399.8,8.17,Current
800554,101406,Personal,7433.05,3426.99,7.26,Current
800555,101407,Personal,3206.44,1431.58,7.46,Current
800556,101412,Auto,18028.57,14546.03,4.34,Current
800557,101415,Mortgage,315268.0,302737.98,4.23,Current
800558,101422,Personal,17637.18,13664.47,11.36,Current
800559,101422,Personal,19340.67,16025.44,7.34,Current
800560,101424,Personal,5566.61,1813.82,10.03,Current
800561,101429,Personal,18596.6,5452.71,9.33,Current
800562,101430,Auto,31087.36,13415.04,5.08,Current
800563,101434,Mortgage,326754.59,288682.42,3.72,Current
800564,101435,Personal,10252.0,7145.47,6.52,Current
800565,101438,Auto,9921.16,6262.45,9.93,Current
800566,101443,Personal,28976.69,11950.71,8.21,Current
800567,101447,Mortgage,272524.6,192830.32,5.87,Current
800568,101451,Personal,22398.76,5143.9,13.93,Current
800569,101453,Mortgage,159166.18,104109.46,6.14,Current
800570,101454,Personal,15449.78,10668.1,6.68,Current
800571,101458,Mortgage,213975.25,157048.24,4.85,Current
800572,101458,Personal,14206.93,11451.72,7.43,Current
800573,101461,Auto,22571.25,13168.98,8.28,Current
800574,101464,Personal,5714.88,2633.42,12.29,Current
800575,101466,Auto,15027.55,3498.95,8.51,Current
800576,101474,Auto,43577.84,15925.47,8.32,Current
800577,101475,Auto,15958.41,6392.11,5.4,Current
800578,101477,Personal,20863.71,6010.77,12.58,Current
800579,101479,Personal,7760.53,7010.62,8.01,Current
800580,101486,Personal,6249.0,4618.73,6.32,Current
800581,101492,Personal,7061.79,2500.73,9.96,Current
800582,101496,Personal,13802.87,3010.14,12.17,Current
800583,101496,Personal,11820.47,9991.29,12.74,Current
800584,101497,Mortgage,150824.18,84845.37,4.23,Current
800585,101499,Mortgage,257749.56,88321.4,3.8,Current
800586,101502,Personal,27654.73,18248.02,9.79,Current
800587,101503,Auto,25651.76,5717.01,7.13,Current
800588,101504,Personal,18886.38,17892.8,8.74,Current
800589,101507,Personal,27958.23,22918.26,5.86,Current
800590,101510,Personal,29482.86,5637.41,9.25,Current
800591,101514,Personal,22593.28,8288.16,12.42,Current
800592,101515,Personal,11509.8,4577.53,7.45,Current
800593,101525,Personal,21214.04,5597.03,11.04,Current
800594,101528,Auto,11064.69,5695.28,8.01,Current
800595,101530,Mortgage,280064.1,209545.32,4.55,Current
800596,101533,Personal,16452.16,15318.13,8.27,Current
800597,101535,Mortgage,143299.1,100003.57,7.5,Current
800598,101536,Personal,29186.98,22502.45,6.3,Current
800599,101540,Auto,32172.46,26616.05,5.68,Current
800600,101544,Mortgage,276037.67,178353.56,4.19,Current
800601,101544,Auto,24592.55,4725.29,9.01,Current
800602,101547,Mortgage,313342.01,246935.43,7.14,Current
800603,101549,Personal,7058.46,1768.88,6.26,Current
800604,101552,Auto,20895.53,6700.52,7.98,Current
800605,101554,Auto,16134.94,7982.27,7.4,Late
800606,101559,Mortgage,234046.32,135420.78,7.36,Current
800607,101559,Mortgage,273290.76,228763.52,4.94,Current
800608,101561,Mortgage,315943.07,238435.1,5.1,Current
800609,101564,Auto,36660.13,26028.01,6.3,Late
800610,101564,Personal,25254.45,12641.25,10.24,Current
800611,101568,Mortgage,196885.05,188589.42,3.88,Current
800612,101570,Personal,26063.91,10573.02,11.73,Current
800613,101575,Auto,39427.22,31617.2,8.89,Current
800614,101580,Auto,11828.27,1802.12,7.18,Current
800615,101585,Personal,16534.08,10760.3,11.86,Current
800616,101585,Personal,28866.41,22117.09,13.14,Current
800617,101586,Personal,20923.74,19174.61,5.64,Current
800618,101592,Personal,14248.74,5252.69,10.62,Current
800619,101592,Auto,38503.68,31338.91,5.36,Late
800620,101595,Mortgage,85396.54,23372.05,6.87,Current
800621,101600,Personal,27851.7,15450.9,6.5,Current
800622,101605,Personal,25578.67,20723.37,11.75,Current
800623,101609,Auto,44594.39,17040.14,6.66,Current
800624,101610,Personal,28480.23,11831.44,9.73,Current
800625,101611,Mortgage,167321.76,106640.56,4.21,Current
800626,101611,Mortgage,301562.25,253878.24,7.06,Current
800627,101618,Personal,26501.55,16438.71,13.44,Current
800628,101620,Mortgage,172680.48,145012.76,6.44,Current
800629,101621,Personal,10323.82,6170.4,5.42,Current
800630,101622,Auto,11669.28,4089.29,5.44,Current
800631,101625,Personal,22962.63,16226.51,11.29,Current
800632,101626,Auto,35105.29,26435.01,8.87,Current
800633,101626,Mortgage,285679.43,44285.87,7.28,Current
800634,101633,Auto,18363.12,11146.57,5.43,Late
800635,101634,Personal,11110.73,4605.38,11.25,Current
800636,101640,Mortgage,319121.53,212938.05,4.5,Current
800637,101641,Personal,7838.52,6712.4,9.72,Current
800638,101658,Personal,13246.06,3820.87,11.99,Current
800639,101660,Personal,25342.15,24811.13,8.42,Current
800640,101664,Personal,24208.94,16491.28,9.79,Current
800641,101665,Personal,13676.85,3394.0,13.68,Current
800642,101666,Auto,34895.62,9058.79,8.5,Current
800643,101667,Personal,16444.64,10460.31,8.98,Current
800644,101673,Personal,24426.22,16282.57,13.05,Current
800645,101680,Personal,20454.58,9549.18,8.52,Current
800646,101686,Auto,24345.8,9053.65,8.56,Current
800647,101689,Personal,22530.82,21924.82,7.76,Current
800648,101692,Personal,4286.63,3744.83,11.84,Current
800649,101692,Auto,30671.51,16561.01,4.57,Late
800650,101693,Personal,17341.9,7708.28,12.82,Current
800651,101693,Personal,25545.74,10858.05,9.22,Current
800652,101694,Personal,4021.71,3788.0,13.16,Current
800653,101697,Personal,23570.87,10156.24,8.31,Current
800654,101699,Auto,19630.62,5778.64,8.01,Current
800655,101700,Personal,7918.19,5010.1,10.39,Current
800656,101704,Auto,16173.05,15670.48,7.82,Current
800657,101708,Personal,23679.02,13959.92,7.91,Current
800658,101709,Auto,26694.75,18118.56,8.16,Current
800659,101710,Personal,7832.35,1413.5,9.34,Current
800660,101711,Mortgage,336801.9,322225.62,6.14,Current
800661,101715,Mortgage,221264.12,40630.66,4.49,Current
800662,101718,Personal,24280.98,18110.48,12.3,Late
800663,101720,Mortgage,257003.68,222452.17,5.27,Current
800664,101722,Mortgage,327942.63,99484.11,6.64,Current
800665,101723,Mortgage,113652.94,98705.35,5.42,Current
800666,101724,Personal,18618.16,10956.11,12.69,Current
800667,101724,Auto,22861.35,3879.39,8.95,Current
800668,101730,Personal,9214.78,2828.95,9.55,Current
800669,101735,Auto,13839.95,5099.73,4.67,Current
800670,101736,Auto,18892.63,3655.28,8.63,Current
800671,101740,Personal,18270.12,8649.73,10.61,Late
800672,101742,Personal,23218.79,10355.62,11.62,Current
800673,101744,Mortgage,200106.14,122700.45,4.32,Current
800674,101746,Personal,13687.87,11669.14,8.73,Current
800675,101749,Auto,36788.74,10502.87,8.77,Current
800676,101751,Mortgage,341303.41,53629.78,4.85,Current
800677,101752,Personal,25498.16,3998.71,8.38,Current
800678,101753,Personal,8656.76,2070.53,8.57,Current
800679,101758,Auto,23363.59,14501.14,8.39,Current
800680,101767,Personal,12348.01,10923.56,11.52,Current
800681,101769,Mortgage,324576.76,269291.96,4.73,Current
800682,101770,Mortgage,83974.04,41496.04,6.0,Current
800683,101772,Mortgage,244959.68,180296.08,5.41,Current
800684,101773,Personal,6150.07,5524.87,11.45,Current
800685,101777,Mortgage,103748.95,78092.01,4.4,Current
800686,101794,Personal,4024.24,2935.29,10.1,Current
800687,101801,Mortgage,106694.34,59470.43,4.49,Current
800688,101804,Mortgage,260632.7,57524.66,5.65,Late
800689,101806,Mortgage,245441.76,145403.62,4.51,Late
800690,101806,Personal,12937.76,3898.02,7.77,Late
800691,101807,Personal,7109.86,6434.43,8.82,Current
800692,101807,Personal,14245.39,13098.93,13.13,Late
800693,101808,Auto,9127.52,6649.38,8.03,Current
800694,101809,Auto,13121.56,9578.23,4.95,Current
800695,101810,Personal,9900.75,7944.92,11.84,Current
800696,101812,Mortgage,342442.26,272143.48,4.59,Current
800697,101827,Personal,5612.83,2685.34,11.05,Current
800698,101829,Personal,28157.8,22106.5,10.48,Current
800699,101838,Mortgage,342715.01,176876.94,7.28,Current
800700,101842,Personal,13849.0,4384.88,11.1,Current
800701,101843,Personal,7666.08,5960.48,12.5,Current
800702,101843,Auto,32530.51,19294.92,8.96,Current
800703,101850,Auto,39084.83,13666.77,6.83,Current
800704,101853,Auto,12275.51,10916.09,4.29,Current
800705,101856,Mortgage,114111.96,69979.6,3.92,Current
800706,101868,Mortgage,89116.42,41321.62,5.97,Current
800707,101872,Personal,11319.62,3763.26,6.42,Current
800708,101874,Auto,43342.97,26624.7,8.8,Current
800709,101878,Mortgage,146693.28,110646.69,4.08,Current
800710,101881,Personal,7938.89,6784.05,13.07,Current
800711,101886,Personal,22574.62,11973.57,8.12,Current
800712,101887,Personal,14012.63,12924.66,5.52,Current
800713,101890,Personal,26802.69,10937.7,9.91,Current
800714,101891,Auto,22266.06,18245.73,5.73,Current
800715,101896,Personal,2995.98,2569.94,12.42,Current
800716,101902,Mortgage,155534.65,51756.5,6.01,Current
800717,101904,Personal,5465.64,5095.34,11.16,Current
800718,101906,Personal,10156.52,3749.3,10.84,Current
800719,101907,Personal,3552.86,2104.53,5.9,Late
800720,101911,Personal,25669.33,7995.98,12.93,Current
800721,101916,Personal,17199.51,7314.41,8.12,Current
800722,101924,Personal,3769.27,1217.59,7.71,Current
800723,101924,Personal,8974.24,6785.85,5.92,Late
800724,101927,Personal,15706.84,12570.82,10.98,Current
800725,101928,Auto,20642.54,3222.54,4.24,Current
800726,101930,Auto,14962.9,12985.17,5.13,Late
800727,101934,Personal,17078.72,10624.91,6.99,Current
800728,101939,Auto,17522.51,16229.19,8.66,Current
800729,101940,Mortgage,94501.08,45958.05,6.49,Current
800730,101940,Auto,19841.11,4530.12,8.86,Current
800731,101942,Auto,12912.14,4640.7,7.26,Current
800732,101947,Personal,26712.4,8473.51,8.57,Current
800733,101947,Personal,14713.98,5847.58,9.05,Current
800734,101951,Personal,21110.81,7848.07,11.69,Current
800735,101961,Personal,28543.58,14974.52,11.08,Late
800736,101962,Personal,5692.21,3646.06,6.35,Current
800737,101966,Auto,43421.05,12913.65,5.16,Current
800738,101968,Auto,37347.68,23626.68,5.89,Current
800739,101968,Personal,19771.62,9679.54,7.58,Current
800740,101984,Personal,13605.09,3679.41,10.81,Current
800741,101985,Personal,3398.94,2625.06,10.39,Current
800742,101988,Personal,8291.89,2820.51,10.07,Current
800743,101988,Personal,18823.15,13580.17,13.97,Current
800744,101990,Auto,43129.0,15186.01,5.61,Current
800745,101995,Personal,2432.83,663.25,11.15,Current
800746,101996,Auto,17881.44,10785.31,8.03,Current
800747,101997,Auto,34671.45,28282.03,7.04,Current
800748,102002,Personal,27510.61,15028.08,8.11,Current
800749,102006,Personal,28880.16,18132.42,7.8,Current
800750,102012,Personal,13909.21,3034.45,11.03,Current
800751,102016,Mortgage,104114.55,57607.76,7.45,Current
800752,102023,Mortgage,240510.6,186007.12,4.38,Current
800753,102026,Mortgage,165630.09,143862.83,4.29,Current
800754,102027,Personal,16355.82,9272.26,12.46,Current
800755,102027,Mortgage,179694.7,167949.26,4.15,Current
800756,102030,Mortgage,149150.16,46076.75,7.08,Current
800757,102034,Auto,38540.48,29821.82,4.82,Current
800758,102039,Personal,18016.6,7748.37,6.53,Current
800759,102040,Mortgage,127990.02,59268.48,3.61,Current
800760,102043,Auto,36731.5,30857.67,6.38,Current
800761,102044,Personal,25039.56,11981.46,7.43,Current
800762,102044,Auto,23775.26,10041.45,6.69,Current
800763,102045,Mortgage,302872.62,90265.19,4.72,Current
800764,102046,Mortgage,342875.89,167773.63,6.92,Current
800765,102050,Personal,7130.77,1563.24,9.87,Current
800766,102052,Personal,22399.22,16167.12,5.22,Current
800767,102063,Personal,20750.24,8179.52,5.81,Default
800768,102066,Personal,6509.6,2232.31,8.43,Current
800769,102066,Personal,27637.02,8472.04,7.62,Current
800770,102074,Personal,8923.81,7424.09,13.33,Current
800771,102074,Personal,18408.11,15011.32,8.39,Late
800772,102076,Personal,13679.85,6252.12,11.34,Current
800773,102078,Personal,2950.21,2835.88,12.12,Late
800774,102078,Personal,28095.64,12478.94,6.01,Current
800775,102080,Mortgage,182805.72,76821.78,6.66,Current
800776,102083,Personal,21073.9,9973.18,6.03,Current
800777,102085,Personal,6662.93,5947.4,6.2,Current
800778,102087,Personal,10016.85,9789.46,13.72,Current
800779,102091,Personal,19404.69,14305.51,9.62,Late
800780,102092,Auto,21216.96,16967.49,7.35,Current
800781,102094,Mortgage,201910.9,42510.78,6.04,Current
800782,102094,Personal,24045.55,5267.33,5.55,Current
800783,102095,Personal,15127.57,8438.99,5.42,Current
800784,102098,Mortgage,341350.86,297686.97,6.48,Current
800785,102101,Personal,3839.75,3072.49,9.11,Current
800786,102104,Personal,27572.33,17335.78,12.71,Current
800787,102104,Mortgage,97816.3,65091.02,3.89,Current
800788,102114,Personal,20562.68,9904.68,10.43,Current
800789,102116,Personal,25043.62,5376.59,13.16,Current
800790,102117,Personal,17151.08,13261.57,8.49,Current
800791,102123,Personal,18205.19,17277.41,11.06,Current
800792,102126,Personal,13122.98,2232.43,5.56,Current
800793,102128,Auto,43466.07,33413.63,4.34,Current
800794,102128,Personal,28210.33,17327.33,11.31,Current
800795,102130,Auto,29028.08,7145.22,8.05,Current
800796,102133,Auto,27390.26,12494.57,9.14,Current
800797,102133,Personal,28504.64,25665.03,6.09,Current
800798,102134,Personal,8291.75,7602.41,8.62,Current
800799,102135,Personal,2532.35,416.07,6.68,Current
800800,102138,Personal,3377.07,2450.26,13.35,Current
800801,102139,Auto,40515.12,6263.61,7.88,Current
800802,102139,Personal,5416.87,3404.25,12.3,Current
800803,102140,Auto,27531.16,21136.06,7.49,Current
800804,102140,Auto,14474.93,9379.49,6.51,Current
800805,102143,Mortgage,240968.1,148928.71,4.01,Current
800806,102148,Auto,15668.79,8692.26,4.92,Current
800807,102150,Personal,8990.52,4300.93,9.25,Current
800808,102151,Personal,7787.65,7529.46,12.23,Default
800809,102153,Auto,44489.19,26102.79,7.29,Current
800810,102154,Mortgage,208418.98,100377.55,3.62,Current
800811,102156,Personal,17173.57,7821.27,11.46,Current
800812,102156,Auto,9749.14,5255.58,4.2,Current
800813,102158,Personal,22550.0,5936.63,10.41,Current
800814,102158,Mortgage,98667.61,46707.28,4.26,Current
800815,102159,Mortgage,276876.96,84515.78,7.23,Current
800816,102164,Auto,28429.05,5374.62,6.31,Current
800817,102165,Personal,6148.81,3221.85,13.71,Late
800818,102166,Auto,44625.26,40110.6,8.2,Current
800819,102167,Auto,14285.0,11137.79,5.02,Current
800820,102169,Personal,5306.35,1527.6,10.93,Current
800821,102171,Personal,4309.92,2523.36,7.78,Current
800822,102174,Personal,8643.85,2396.48,8.3,Current
800823,102174,Personal,28730.59,23306.15,10.08,Current
800824,102175,Personal,19462.44,6751.45,13.2,Current
800825,102177,Auto,38554.77,12302.02,4.54,Current
800826,102178,Personal,14025.58,8646.51,6.66,Current
800827,102180,Mortgage,85549.95,60928.58,4.42,Current
800828,102181,Auto,28659.28,5617.29,6.33,Current
800829,102182,Auto,25141.11,8239.91,5.52,Current
800830,102192,Personal,12262.15,10814.75,10.38,Current
800831,102198,Personal,26988.69,14463.31,11.49,Current
800832,102199,Mortgage,247943.7,112856.11,4.37,Current
800833,102204,Auto,41590.83,18617.29,4.67,Current
800834,102206,Personal,18896.26,17118.66,12.9,Current
800835,102207,Personal,18759.31,7767.96,6.21,Current
800836,102208,Mortgage,262363.08,128126.56,4.48,Current
800837,102211,Personal,12481.15,11113.57,13.68,Current
800838,102214,Mortgage,159423.14,28079.91,6.59,Current
800839,102221,Personal,16472.45,10900.57,7.21,Current
800840,102221,Mortgage,151643.69,144159.85,6.71,Current
800841,102222,Personal,17235.49,7565.12,5.44,Current
800842,102226,Personal,6146.73,1035.56,8.17,Current
800843,102227,Mortgage,174878.91,154680.1,7.11,Current
800844,102228,Personal,14084.6,4905.35,5.72,Current
800845,102231,Auto,34306.42,21771.42,8.87,Current
800846,102233,Mortgage,249468.96,83763.0,5.87,Current
800847,102234,Auto,9679.17,2163.05,5.87,Current
800848,102235,Personal,2562.25,854.37,8.59,Current
800849,102256,Mortgage,313533.18,136077.52,5.39,Current
800850,102257,Personal,24673.29,17046.65,8.73,Late
800851,102260,Auto,21713.81,10182.12,7.65,Current
800852,102264,Personal,28043.1,25676.79,10.38,Current
800853,102265,Personal,15633.25,4599.8,13.98,Current
800854,102266,Personal,16758.34,8520.94,11.01,Late
800855,102268,Personal,10274.05,3124.82,6.91,Current
800856,102270,Personal,16606.75,6227.89,6.77,Current
800857,102274,Personal,5298.46,1256.43,7.78,Current
800858,102277,Auto,11034.4,1855.56,4.96,Late
800859,102279,Mortgage,131286.26,126724.54,4.45,Current
800860,102281,Mortgage,262394.43,45014.64,4.9,Current
800861,102288,Personal,17575.72,12957.56,7.01,Current
800862,102289,Auto,23551.16,7574.64,4.25,Late
800863,102290,Personal,23191.73,17249.75,10.2,Current
800864,102303,Auto,42187.46,31141.95,7.63,Current
800865,102307,Mortgage,230557.82,181304.37,4.51,Current
800866,102310,Auto,32801.25,15219.21,7.56,Current
800867,102314,Personal,21998.86,16234.69,8.14,Current
800868,102314,Personal,19609.96,18886.78,6.65,Current
800869,102316,Personal,10586.44,5412.73,8.14,Current
800870,102318,Mortgage,104265.49,33913.45,6.09,Current
800871,102322,Personal,27946.13,24681.95,8.1,Current
800872,102323,Mortgage,297428.55,210642.43,5.31,Current
800873,102325,Mortgage,341785.41,283331.8,6.8,Current
800874,102327,Personal,24310.07,12848.6,8.4,Current
800875,102329,Personal,15835.42,4171.36,9.91,Current
800876,102333,Auto,36096.1,24253.18,8.26,Current
800877,102336,Auto,33404.61,9160.14,5.77,Current
800878,102337,Auto,8644.93,2155.09,7.58,Current
800879,102343,Personal,3954.38,2249.58,13.57,Current
800880,102345,Auto,12573.24,1901.37,6.77,Current
800881,102349,Mortgage,218267.49,136145.43,5.38,Current
800882,102349,Auto,43115.56,17945.14,7.64,Current
800883,102353,Personal,29993.0,12619.56,6.51,Current
800884,102363,Auto,44260.33,23128.15,7.93,Current
800885,102367,Personal,11575.41,3129.66,8.83,Current
800886,102367,Mortgage,142773.43,25917.01,6.24,Current
800887,102369,Personal,12030.6,5350.5,5.06,Current
800888,102373,Personal,20380.82,16818.51,13.0,Current
800889,102378,Auto,25535.61,11375.75,4.3,Current
800890,102391,Personal,7685.87,5249.97,10.84,Late
800891,102394,Mortgage,186889.6,124384.67,4.87,Current
800892,102399,Personal,12777.84,8021.83,6.2,Current
800893,102404,Auto,32704.02,26108.63,9.54,Current
800894,102412,Personal,23756.38,18115.79,8.91,Current
800895,102418,Personal,17195.28,3364.71,12.11,Current
800896,102421,Personal,3729.31,2466.35,9.62,Current
800897,102423,Mortgage,246911.33,121775.08,6.58,Current
800898,102425,Auto,35526.59,23429.97,6.87,Current
800899,102425,Mortgage,291603.35,48551.76,6.38,Current
800900,102427,Mortgage,307263.24,172946.17,7.45,Current
800901,102428,Mortgage,195637.31,165787.88,5.2,Current
800902,102429,Auto,36577.9,30090.76,9.73,Current
800903,102433,Mortgage,176952.23,63237.84,6.33,Current
800904,102434,Personal,18587.97,2894.16,8.38,Current
800905,102444,Mortgage,261419.87,164368.17,6.08,Current
800906,102445,Mortgage,243339.01,102765.37,5.09,Current
800907,102451,Personal,20770.51,5780.88,9.05,Current
800908,102455,Personal,21234.59,11593.8,12.87,Current
800909,102456,Mortgage,116136.19,66988.7,6.2,Late
800910,102460,Auto,28132.95,25857.88,9.66,Current
800911,102461,Personal,17962.18,6137.61,13.77,Current
800912,102463,Personal,22671.94,10802.33,9.32,Late
800913,102466,Personal,28485.72,23662.26,7.34,Late
800914,102467,Personal,11557.29,2558.15,9.5,Current
800915,102469,Personal,3297.51,1335.52,6.39,Current
800916,102470,Personal,16674.21,15086.63,10.6,Current
800917,102471,Auto,28539.81,22935.39,5.02,Current
800918,102472,Mortgage,320401.43,153567.96,7.38,Current
800919,102473,Mortgage,98609.57,90545.48,4.78,Current
800920,102474,Personal,25265.57,9179.48,7.58,Current
800921,102475,Auto,26697.73,8534.79,6.44,Current
800922,102476,Mortgage,334472.42,116405.92,4.36,Current
800923,102476,Personal,26858.09,7056.66,8.84,Current
800924,102477,Auto,42977.63,29612.56,5.76,Current
800925,102480,Mortgage,95274.16,39242.62,5.97,Current
800926,102480,Mortgage,154213.84,70559.78,5.98,Current
800927,102481,Mortgage,173133.06,72076.37,3.5,Current
800928,102490,Mortgage,90289.49,76791.06,6.79,Current
800929,102492,Personal,3043.04,2313.48,9.72,Current
800930,102497,Mortgage,321723.23,301100.28,4.95,Current
800931,102498,Mortgage,341323.81,264216.77,5.47,Current
800932,102499,Personal,20373.67,7509.0,7.16,Current
